Ref,Val,Package,PosX,PosY,Rot,Side
"","","",82.550000,-137.160000,0.000000,top
"C2","330nF","C_1206",97.360000,-138.430000,0.000000,top
"C3","100nF","C_1206",107.520000,-138.430000,180.000000,top
"C4","100nF","C_1206",101.600000,-115.570000,-90.000000,top
"J1","Connector TO Buttons","JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical",93.980000,-127.000000,180.000000,top
"J2","Connector FROM Buttons","JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical",93.980000,-116.840000,180.000000,top
"J3","NeoPixelRing","JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical",107.910000,-108.475000,180.000000,top
"J4","ServoMotor","JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical",118.190000,-110.490000,0.000000,top
"J5","UPDI","JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical",118.110000,-119.380000,0.000000,top
"J6","LCD","JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical",115.570000,-128.270000,0.000000,top
"J7","9V Battery","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",90.170000,-134.620000,-90.000000,top
"R1","330","R_1206",109.220000,-115.570000,90.000000,top
"R2","1k","R_1206",85.090000,-108.790000,-90.000000,top
"R3","1k","R_1206",88.900000,-108.790000,-90.000000,top
"R4","1k","R_1206",92.710000,-108.790000,-90.000000,top
"R5","1k","R_1206",96.520000,-108.790000,-90.000000,top
"R6","4.7k","R_1206",121.490000,-135.890000,180.000000,top
"R7","4.7k","R_1206",115.140000,-135.890000,0.000000,top
"REF**","MountingHole_3mm","MountingHole_3mm",123.190000,-104.140000,0.000000,top
"U1","ATTiny1614","SOIC-14_3.9x8.7mm_P1.27mm",104.140000,-124.460000,0.000000,top
"U2","7805","TO-220-3_Vertical",101.600000,-134.295000,0.000000,top
