"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J1";"JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical";1;"Connector TO Buttons";;;
2;"J7";"JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical";1;"9V Battery";;;
3;"J3";"JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical";1;"NeoPixelRing";;;
4;"C3,C4";"C_1206";2;"100nF";;;
5;"J5";"JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical";1;"UPDI";;;
6;"";"";1;"";;;
7;"U2";"TO-220-3_Vertical";1;"7805";;;
8;"R7,R6";"R_1206";2;"4.7k";;;
9;"REF**";"MountingHole_3mm";1;"MountingHole_3mm";;;
10;"U1";"SOIC-14_3.9x8.7mm_P1.27mm";1;"ATTiny1614";;;
11;"R4,R3,R5,R2";"R_1206";4;"1k";;;
12;"J4";"JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical";1;"ServoMotor";;;
13;"J2";"JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical";1;"Connector FROM Buttons";;;
14;"C2";"C_1206";1;"330nF";;;
15;"R1";"R_1206";1;"330";;;
16;"J6";"JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical";1;"LCD";;;
